Carimbo de data/hora;Sua idade;Você é estudante?;Você trabalha atualmente?;"Você prefere trabalhar;";Você entrou no seu emprego atual:;Você trabalhava quantas horas semanais antes da quarentena?;Você voltou a trabalhar presencialmente ainda em 2020?;Seu trabalho pode ser realizado normalmente no regime Home Office? Se não, porque?;Como você julga seu desempenho e/ou o desempenho da sua empresa durante o home office:;Como você julga a quantidade de tarefas e o número de horas para concluí-las durante o home office obrigatório? [Tarefas diárias];Como você julga a quantidade de tarefas e o número de horas para concluí-las durante o home office obrigatório? [Horas trabalhadas/dia];Você acha que o home office deveria ser mais frequente depois do término da quarentena?;você acha que o home office invadiu a sua privacidade dentro de casa?;"Nos conte um pouco mais, pode ser um texto ou até mesmo uma frase, porque você acha que o home office invadiu sua privacidade? (Responder apenas se você assinalou ""sim"" na questão anterior)"
11/18/2020 11:29:28;21;Sim;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Não, é na área de controle de qualidade de peças de roupas então a distância não funciona. ;Pior;igual;igual;Não;Não;
11/18/2020 11:32:22;46;Não;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Não pq serviço essencial e 30% dos funcionários precisam estar aqui ;Pior;menos;menos;Não;Não;Não trabalhei homeoffice
11/18/2020 11:32:22;46;Não;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Não pq serviço essencial e 30% dos funcionários precisam estar aqui ;Pior;menos;menos;Não;Não;Não trabalhei homeoffice
11/18/2020 11:33:58;21;Sim;Sim, no regime home office;Home Office;Presencial;menos de 40 horas;Não;Sim;Melhor;mais;igual;Sim, todos os dias;Não;
11/18/2020 11:53:59;20;Sim;Sim, no regime home office;Presencial;Presencial;de 40 a 45 horas;Não;I can partially proceed with my obligations via home-office, however it is much better to work in person at the office to have an easier team working.;Igual quando presencial;igual;igual;Sim, 2 vezes por semana;Sim;I started to mix my professional and personal tasks, since i am working from home. 
11/18/2020 11:54:33;34;Sim;Sim, parte presencial e parte home office;Home Office;Presencial;de 40 a 45 horas;Sim;Não totalmente, tem uma parte de laboratório ;Melhor;menos;igual;Sim, 4 vez por semana;Não;
11/18/2020 12:32:05;31;Não;Sim, no regime home office;Home Office;Presencial;de 40 a 45 horas;Não;Sim;Melhor;igual;igual;Sim, todos os dias;Não;
11/18/2020 12:43:37;21;Sim;Sim, presencialmente;Home Office;Presencial;menos de 40 horas;Sim;Em partes sim;Melhor;igual;igual;Sim, 3 vez por semana;Não;
11/18/2020 13:05:22;42;Não;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Não, internet doméstica não se compara com empresarial. Não roda o programa que trabalho, de forma ágil!;Igual quando presencial;igual;igual;Não;Não;
11/18/2020 13:34:35;36;Não;Sim, parte presencial e parte home office;Presencial;Presencial;de 45 a 50 horas;Sim;Não pois Sou professora de medicina veterinária, aulas de cirurgia em grandes animais . ;Pior;muito menos;muito menos;Não;Sim;Porque tivemos que improvisar ambientes pra poder dar aula com sim e iluminação adequados que eu não tinha e a ergonomia  ficou muito prejudicada. 
11/18/2020 13:52:08;27;Não;Sim, parte presencial e parte home office;Home Office;Presencial;de 45 a 50 horas;Sim;Sim!;Melhor;mais;igual;Sim, 3 vez por semana;Não;
